#chr	-	ID	LABLE	start	end	col	这个用来定义染色体信息
chr	-	hs1	1	0	196450000	chr1	
chr	-	hs2	2	0	149540000	chr2	
chr	-	hs3	3	0	110640000	chr3	
chr	-	hs4	4	0	90860000	chr4	
chr	-	hs5	5	0	59510000	chr5	
chr	-	hs6	6	0	36220000	chr6	
chr	-	hs7	7	0	36380000	chr7	
chr	-	hs8	8	0	29580000	chr8	
chr	-	hs9	9	0	23730000	chr9	
chr	-	hs10	10	0	20450000	chr10	
chr	-	hs11	11	0	19640000	chr11	
chr	-	hs12	12	0	20120000	chr12	
chr	-	hs13	13	0	17910000	chr13	
chr	-	hs14	14	0	15330000	chr14	
chr	-	hs15	15	0	12700000	chr15	
chr	-	hs16	16	0	2710000	chr16	
chr	-	hs17	17	0	11090000	chr17	
chr	-	hs18	18	0	11620000	chr18	
chr	-	hs19	19	0	10460000	chr19	
chr	-	hs20	20	0	14270000	chr20	
chr	-	hs21	21	0	6970000	chr21	
chr	-	hs22	22	0	4690000	chr22	
chr	-	hs23	23	0	6250000	chr23	
chr	-	hs24	24	0	6480000	chr24	
chr	-	hs25	25	0	3070000	chr25	
chr	-	hs26	26	0	5350000	chr26	
chr	-	hs27	27	0	5230000	chr27	
chr	-	hs28	28	0	5440000	chr28	
chr	-	hs29	29	0	730000	chr29	
chr	-	hs30	30	0	760000	chr30	
chr	-	hs31	31	0	2460000	chr31	
chr	-	hs32	32	0	130000	chr32	
chr	-	hs33	33	0	3840000	chr33	
chr	-	hs34	34	0	3470000	chr34	
chr	-	hs35	35	0	550000	chr35	
chr	-	hs36	36	0	360000	chr36	
chr	-	hs37	37	0	160000	chr37	
chr	-	hs38	38	0	670000	chr38	
chr	-	hs39	39	0	180000	chr39	
