#reference_panel_population:	CHA	MSU
chromosome	physical_position	genetic_position	genetic_marker_index	BHC-501:::hap1:::CHA	BHC-501:::hap1:::MSU	BHC-501:::hap2:::CHA	BHC-501:::hap2:::MSU	BHC-502:::hap1:::CHA	BHC-502:::hap1:::MSU	BHC-502:::hap2:::CHA	BHC-502:::hap2:::MSU	XM448:::hap1:::CHA	XM448:::hap1:::MSU	XM448:::hap2:::CHA	XM448:::hap2:::MSU	XM450:::hap1:::CHA	XM450:::hap1:::MSU	XM450:::hap2:::CHA	XM450:::hap2:::MSU	SYLHN-1:::hap1:::CHA	SYLHN-1:::hap1:::MSU	SYLHN-1:::hap2:::CHA	SYLHN-1:::hap2:::MSU	SYLHN-2:::hap1:::CHA	SYLHN-2:::hap1:::MSU	SYLHN-2:::hap2:::CHA	SYLHN-2:::hap2:::MSU	SYLHN-3:::hap1:::CHA	SYLHN-3:::hap1:::MSU	SYLHN-3:::hap2:::CHA	SYLHN-3:::hap2:::MSU	SYLHN-4:::hap1:::CHA	SYLHN-4:::hap1:::MSU	SYLHN-4:::hap2:::CHA	SYLHN-4:::hap2:::MSU	SYLHN-5:::hap1:::CHA	SYLHN-5:::hap1:::MSU	SYLHN-5:::hap2:::CHA	SYLHN-5:::hap2:::MSU	SYLHN-6:::hap1:::CHA	SYLHN-6:::hap1:::MSU	SYLHN-6:::hap2:::CHA	SYLHN-6:::hap2:::MSU	SYLHN-7:::hap1:::CHA	SYLHN-7:::hap1:::MSU	SYLHN-7:::hap2:::CHA	SYLHN-7:::hap2:::MSU	SYLHN-8:::hap1:::CHA	SYLHN-8:::hap1:::MSU	SYLHN-8:::hap2:::CHA	SYLHN-8:::hap2:::MSU	SYLHN-9:::hap1:::CHA	SYLHN-9:::hap1:::MSU	SYLHN-9:::hap2:::CHA	SYLHN-9:::hap2:::MSU	GQC-10:::hap1:::CHA	GQC-10:::hap1:::MSU	GQC-10:::hap2:::CHA	GQC-10:::hap2:::MSU	GQC-15:::hap1:::CHA	GQC-15:::hap1:::MSU	GQC-15:::hap2:::CHA	GQC-15:::hap2:::MSU	GQC-20:::hap1:::CHA	GQC-20:::hap1:::MSU	GQC-20:::hap2:::CHA	GQC-20:::hap2:::MSU	GQC-5:::hap1:::CHA	GQC-5:::hap1:::MSU	GQC-5:::hap2:::CHA	GQC-5:::hap2:::MSU	1050751690:::hap1:::CHA	1050751690:::hap1:::MSU	1050751690:::hap2:::CHA	1050751690:::hap2:::MSU	1050751700:::hap1:::CHA	1050751700:::hap1:::MSU	1050751700:::hap2:::CHA	1050751700:::hap2:::MSU	1050751710:::hap1:::CHA	1050751710:::hap1:::MSU	1050751710:::hap2:::CHA	1050751710:::hap2:::MSU	1050751720:::hap1:::CHA	1050751720:::hap1:::MSU	1050751720:::hap2:::CHA	1050751720:::hap2:::MSU	1050751730:::hap1:::CHA	1050751730:::hap1:::MSU	1050751730:::hap2:::CHA	1050751730:::hap2:::MSU
1	761316	0.76132	0	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00179	0.99821	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00003	0.99997	0.00000	1.00000	0.00003	0.99997	0.00003	0.99997	0.00000	1.00000	0.00003	0.99997	0.00003	0.99997	0.00000	1.00000	0.00003	0.99997	0.00000	1.00000	0.62384	0.37616	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.07668	0.92332	0.00000	1.00000	0.00001	0.99999	0.00000	1.00000	0.00000	1.00000	0.00001	0.99999	0.00001	0.99999	0.00001	0.99999	0.00000	1.00000	0.00000	1.00000	0.00045	0.99955	0.00000	1.00000
1	907810	0.90781	5	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00179	0.99821	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00003	0.99997	0.00000	1.00000	0.00002	0.99998	0.00002	0.99998	0.00000	1.00000	0.00003	0.99997	0.00002	0.99998	0.00000	1.00000	0.00002	0.99998	0.00000	1.00000	0.62384	0.37616	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.07668	0.92332	0.00000	1.00000	0.00001	0.99999	0.00000	1.00000	0.00000	1.00000	0.00001	0.99999	0.00001	0.99999	0.00001	0.99999	0.00000	1.00000	0.00000	1.00000	0.00045	0.99955	0.00000	1.00000
1	1091658	1.09166	10	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00179	0.99821	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.62384	0.37616	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.07668	0.92332	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00001	0.99999	0.00000	1.00000	0.00001	0.99999	0.00000	1.00000	0.00000	1.00000	0.00045	0.99955	0.00000	1.00000
1	1126372	1.12637	15	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00179	0.99821	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.62384	0.37616	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.07668	0.92332	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00001	0.99999	0.00000	1.00000	0.00001	0.99999	0.00000	1.00000	0.00000	1.00000	0.00045	0.99955	0.00000	1.00000
1	1459085	1.45908	20	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00179	0.99821	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.62269	0.37731	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.07668	0.92332	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00045	0.99955	0.00000	1.00000
1	1587057	1.58706	25	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00179	0.99821	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.62246	0.37754	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.07668	0.92332	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00045	0.99955	0.00000	1.00000
1	1685880	1.68588	30	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00179	0.99821	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.62200	0.37800	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.07668	0.92332	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00045	0.99955	0.00000	1.00000
1	1863496	1.86350	35	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00179	0.99821	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.61809	0.38191	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.07668	0.92332	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00045	0.99955	0.00000	1.00000
1	2086121	2.08612	40	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00180	0.99820	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.60580	0.39420	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.07668	0.92332	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00045	0.99955	0.00000	1.00000
1	2279667	2.27967	45	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00182	0.99818	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.59432	0.40568	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.07668	0.92332	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00045	0.99955	0.00000	1.00000
